code	name
0001	みずほ
0005	三菱ＵＦＪ
0009	三井住友
0010	りそな
0017	埼玉りそな
0033	ＰａｙＰａｙ
0036	楽天
0116	北海道
0117	青森みちのく
0119	秋田
0120	北都
0121	荘内
0122	山形
0123	岩手
0124	東北
0125	七十七
0126	東邦
0128	群馬
0129	足利
0130	常陽
0131	筑波
0133	武蔵野
0134	千葉
0135	千葉興業
0137	きらぼし
0138	横浜
0140	第四北越
0142	山梨中央
0143	八十二
0144	北陸
0145	富山
0146	北國
0147	福井
0149	静岡
0150	スルガ
0151	清水
0152	大垣共立
0153	十六
0154	三十三
0155	百五
0157	滋賀
0158	京都
0159	関西みらい
0161	池田泉州
0162	南都
0163	紀陽
0164	但馬
0166	鳥取
0167	山陰合同
0168	中国
0169	広島
0170	山口
0172	阿波
0173	百十四
0174	伊予
0175	四国
0177	福岡
0178	筑邦
0179	佐賀
0181	十八親和
0182	肥後
0183	大分
0184	宮崎
0185	鹿児島
0187	琉球
0188	沖縄
0190	西日本シティ
0191	北九州
0288	三菱ＵＦＪ信託
0289	みずほ信託
0294	三井住友信託
0300	ＳＭＢＣ信託
0397	ＳＢＩ新生
0398	あおぞら
0401	シティバンク、エヌ・エイ
0501	北洋
0508	きらやか
0509	北日本
0512	仙台
0513	福島
0514	大東
0516	東和
0517	栃木
0522	京葉
0525	東日本
0526	東京スター
0532	大光
0534	富山第一
0538	静岡中央
0542	あいち
0543	名古屋
0562	みなと
0569	もみじ
0576	愛媛
0578	高知
1000	信金中央金庫
1252	青木信金
1253	飯能信金
1262	東京ベイ信金
1280	横浜信金
1282	湘南信金
1283	川崎信金
1303	朝日信金
1305	興産信金
1310	さわやか信金
1311	東京シティ信金
1319	芝信金
1320	東京東信金
1321	東栄信金
1323	亀有信金
1326	小松川信金
1327	足立成和信金
1333	東京三協信金
1336	西京信金
1341	西武信金
1344	城南信金
1345	昭和信金
1346	目黒信金
1348	世田谷信金
1349	東京信金
1351	城北信金
1352	瀧野川信金
1356	巣鴨信金
1358	青梅信金
1360	多摩信金
1386	山梨信金
2010	全信組連
2060	あすか信組
2202	全東栄信組
2210	東浴信組
2211	文化産業信組
2215	東京証券信組
2224	東京厚生信組
2226	東信組
2229	江東信組
2231	青和信組
2235	中ノ郷信組
2241	共立信組
2243	七島信組
2248	大東京信組
2254	第一勧業信組
2271	警視庁職員信組
2274	東京消防信組
2276	東京都職員信組
2277	ハナ信組
2963	中央労金
3013	東京都信連
5030	西東京農協
5037	西多摩農協
5039	秋川農協
5050	八王子市農協
5055	東京南農協
5060	町田市農協
5070	マインズ農協
5072	東京みどり農協
5077	東京みらい農協
5087	東京むさし農協
5094	東京中央農協
5095	世田谷目黒農協
5097	東京あおば農協
5100	東京スマイル農協
9900	ゆうちょ
